% randomly generated dataset
@relation contact-lenses
@attribute age {young,pre-presbyopic,presbyopic}
@attribute spectacle-prescrip {myope,hypermetrope}
@attribute astigmatism {no,yes}
@attribute tear-prod-rate {reduced,normal}
@attribute contact-lenses {soft,hard,none}
@data
presbyopic,myope,yes,normal,?
pre-presbyopic,myope,no,reduced,none
pre-presbyopic,hypermetrope,no,reduced,none
presbyopic,hypermetrope,yes,normal,none
pre-presbyopic,myope,yes,normal,none
pre-presbyopic,hypermetrope,yes,reduced,none
young,hypermetrope,?,normal,soft
pre-presbyopic,hypermetrope,no,reduced,none
pre-presbyopic,myope,yes,reduced,none
presbyopic,myope,yes,reduced,none
presbyopic,myope,no,reduced,hard
pre-presbyopic,myope,no,normal,hard
presbyopic,hypermetrope,yes,reduced,none
young,myope,no,reduced,hard
presbyopic,hypermetrope,yes,reduced,soft
presbyopic,myope,no,reduced,soft
presbyopic,myope,?,reduced,none
presbyopic,myope,no,reduced,hard
presbyopic,hypermetrope,no,reduced,none
presbyopic,hypermetrope,yes,reduced,none
presbyopic,myope,no,reduced,hard
pre-presbyopic,myope,no,normal,none
presbyopic,myope,yes,normal,soft
pre-presbyopic,hypermetrope,yes,reduced,?
pre-presbyopic,myope,no,normal,none
pre-presbyopic,hypermetrope,yes,reduced,none
presbyopic,myope,no,normal,none
young,hypermetrope,yes,normal,soft
young,hypermetrope,yes,reduced,none
young,myope,no,normal,hard
pre-presbyopic,myope,no,normal,hard
young,myope,no,reduced,none
pre-presbyopic,hypermetrope,no,reduced,none
young,myope,?,normal,hard
presbyopic,hypermetrope,no,normal,none
presbyopic,myope,no,reduced,hard
presbyopic,myope,no,normal,soft
young,hypermetrope,yes,reduced,none
pre-presbyopic,hypermetrope,yes,normal,none
presbyopic,hypermetrope,no,normal,soft
young,hypermetrope,no,normal,soft
young,myope,yes,reduced,none
young,myope,yes,normal,none
pre-presbyopic,myope,yes,reduced,none
presbyopic,hypermetrope,?,normal,soft
young,hypermetrope,yes,normal,none
presbyopic,myope,no,?,soft
young,hypermetrope,yes,normal,none
pre-presbyopic,myope,no,normal,none
young,myope,yes,reduced,none
pre-presbyopic,myope,no,normal,none
presbyopic,hypermetrope,no,reduced,soft
presbyopic,hypermetrope,no,normal,soft
pre-presbyopic,hypermetrope,no,normal,none
young,myope,yes,normal,soft
young,myope,no,normal,none
young,hypermetrope,yes,normal,none
pre-presbyopic,myope,yes,normal,soft
young,hypermetrope,no,normal,none
pre-presbyopic,hypermetrope,yes,reduced,soft
presbyopic,myope,yes,reduced,none
young,myope,yes,reduced,soft
young,hypermetrope,yes,reduced,none
presbyopic,hypermetrope,yes,normal,none
presbyopic,hypermetrope,yes,reduced,none
presbyopic,myope,yes,reduced,hard
pre-presbyopic,myope,yes,normal,hard
young,myope,no,normal,hard
young,hypermetrope,yes,normal,none
