% randomly generated dataset
@relation cpu
@attribute MYCT REAL
@attribute MMIN REAL
@attribute MMAX REAL
@attribute CACH REAL
@attribute CHMIN REAL
@attribute CHMAX REAL
@attribute class REAL
@data
320,8000,16000,16,3,26,183
75,1000,64000,0,3,6,20
160,5240,8000,131,1,24,20
50,512,16000,64,6,16,46
100,2000,32000,0,1,14,382
115,2000,16000,0,1,12,381
50,1000,4000,9,32,6,28
200,768,1000,16,3,0,64
160,1000,8000,0,1,5,15
56,2000,16000,64,16,4,1238
50,2000,32000,0,5,6,45
100,8000,24000,4,1,54,426
92,4000,16000,8,12,1,81
160,768,4000,4,1,176,38
50,2000,16000,8,16,32,41
26,256,12000,0,1,16,41
29,1310,2000,16,1,8,23
100,1000,8000,8,1,6,281
400,64,16000,?,6,6,25
480,8000,8000,131,8,12,107
1500,2000,2000,32,1,32,25
1500,2000,8000,4,1,14,381
50,1000,32000,4,?,64,157
800,2000,2000,0,?,4,34
50,2000,24000,0,0,3,35
26,2000,16000,8,1,6,50
40,8000,8000,0,8,5,64
143,4000,8000,2,1,12,136
38,1000,2000,8,4,128,18
50,64,16000,24,5,4,76
200,512,4000,32,12,4,25
250,2000,4000,16,8,8,275
320,2000,2000,0,1,13,46
38,512,32000,0,1,2,47
225,2000,8000,0,3,6,29
38,2000,4000,64,1,16,50
160,2000,4000,0,4,5,175
29,5240,12000,0,1,16,41
160,8000,8000,128,1,6,29
105,2000,16000,0,12,54,132
200,2000,32000,32,5,64,44
140,2000,12000,8,1,6,29
26,500,1000,64,12,3,20
330,1000,8000,16,6,?,15
26,8000,32000,0,1,8,53
38,2000,1500,0,1,6,28
700,256,12000,4,1,128,290
1500,256,16000,0,1,32,?
140,16000,4000,32,1,6,52
50,2000,2000,8,3,10,27
320,16000,16000,8,16,16,88
56,2620,8000,32,3,38,46
56,8000,24000,24,1,?,102
200,1000,1000,32,3,16,266
800,2000,8000,0,6,2,42
125,1000,2000,8,4,5,28
50,8000,2000,0,6,8,28
50,4000,8000,8,3,24,37
320,8000,1000,4,32,64,86
400,1000,8000,2,6,6,360
29,1000,8000,0,1,52,253
38,8000,64000,0,3,16,28
17,512,6000,8,16,112,119
60,4000,4000,2,1,24,47
900,8000,4000,8,1,16,54
180,2000,6200,16,1,14,182
38,1000,12000,1,1,3,70
38,1000,8000,24,3,128,136
800,4000,16000,64,2,6,24
40,2000,3000,160,1,6,41
90,256,10480,0,5,24,67
38,1000,16000,0,1,24,78
30,2000,4500,142,1,5,18
100,2000,5000,?,12,176,29
115,16000,32000,6,3,31,?
115,2000,2000,0,1,5,28
56,8000,8000,8,1,2,360
52,262,2000,8,1,2,1238
50,2000,4000,16,1,24,72
115,8000,12000,48,1,24,18
52,1000,32000,0,16,6,74
200,192,8000,128,1,5,124
35,256,8000,6,8,6,603
29,768,8000,8,3,16,80
700,2000,6000,0,24,16,74
26,512,32000,0,4,5,20
250,2000,4000,0,1,24,21
50,512,20970,0,1,1,64
50,192,8000,64,1,2,42
140,4000,4000,0,4,24,50
75,256,32000,0,6,3,29
48,2000,8000,8,3,6,67
300,512,16000,30,6,1,136
75,1000,4000,64,8,8,82
26,1000,8000,0,1,4,31
140,1000,2000,8,2,16,72
133,4000,64000,0,16,6,28
180,3000,1000,8,0,6,24
110,1000,64000,0,1,5,23
320,1000,4000,24,1,4,124
105,16000,8000,32,8,13,52
90,1000,8000,8,1,6,44
100,2000,4000,6,2,32,227
125,4000,6300,64,3,2,36
75,256,4000,0,?,8,59
800,1000,12000,16,1,104,53
50,2300,12000,0,8,8,919
56,4000,1000,0,6,16,132
160,2000,3000,8,3,16,39
75,1000,12000,0,3,32,181
50,2000,16000,0,3,24,24
25,512,1000,8,12,32,22
400,2000,64000,64,1,12,46
1500,512,12000,16,1,1,56
300,512,512,64,16,20,43
330,2000,16000,0,3,10,74
200,524,16000,48,6,8,44
900,2000,16000,8,6,8,27
90,32000,4000,131,16,24,47
220,2000,16000,112,1,8,53
40,2000,32000,64,3,4,82
50,4000,16000,16,1,32,27
50,16000,16000,8,1,24,275
480,256,4000,8,1,12,275
133,1310,1000,0,8,12,20
50,192,4000,0,2,6,25
75,768,2620,16,3,5,54
50,1000,12000,8,1,24,107
300,1000,8000,0,12,16,56
800,2000,6000,?,1,24,46
140,2000,2000,16,4,5,34
100,2000,32000,0,1,14,171
140,8000,4000,30,1,176,46
300,512,64,8,1,6,44
60,2000,1000,32,1,32,41
50,8000,8000,32,1,24,45
50,2000,8000,8,2,32,113
52,2000,3000,16,1,32,73
1100,8000,8000,4,24,1,25
200,2000,12000,0,?,54,361
110,16000,32000,0,5,64,20
50,2000,24000,0,1,2,117
180,512,12000,16,1,32,28
125,1000,32000,30,1,20,341
38,512,4000,2,12,32,88
1100,2300,64000,0,1,6,101
100,512,4000,0,8,0,45
50,512,4000,8,6,12,24
900,256,8000,64,0,6,70
29,2000,4500,32,8,2,41
23,512,24000,32,26,2,41
167,96,8000,6,3,3,32
700,8000,4000,0,1,16,117
75,256,16000,8,5,24,18
92,1000,1000,4,1,3,74
100,1000,12000,4,12,8,44
50,262,4000,4,0,24,34
75,2000,8000,8,8,4,138
140,2000,12000,4,12,14,25
50,1000,12000,0,5,6,290
140,2000,6200,8,5,2,18
105,8000,4000,8,6,8,31
50,2000,16000,32,3,4,120
38,512,4000,32,1,0,28
140,1000,24000,64,1,4,59
29,2000,16000,0,3,6,56
50,1000,32000,6,8,6,74
140,3100,6200,0,8,48,181
100,1000,10480,0,3,16,183
115,256,8000,32,8,2,44
72,1000,20970,64,8,3,24
320,128,8000,32,1,1,74
50,2000,32000,?,8,20,23
38,262,8000,32,3,5,48
30,1000,?,0,2,8,39
185,1000,8000,64,6,64,120
810,5240,16000,24,1,6,41
300,384,6000,16,8,16,37
100,512,16000,32,16,1,53
125,4000,4000,24,1,24,181
320,4000,8000,8,6,12,19
110,4000,16000,0,1,3,20
180,1000,12000,0,32,24,41
92,512,4000,8,1,1,24
900,256,16000,24,1,6,21
26,2000,4000,64,1,2,18
38,512,4000,2,1,3,86
56,768,8000,131,1,14,41
72,1000,64000,8,12,54,44
140,2000,2000,?,8,8,88
56,256,2000,16,8,64,45
133,?,64000,0,1,31,50
64,4000,16000,64,3,6,1238
225,512,4000,?,6,1,38
