% randomly generated dataset
@relation labor
@attribute duration REAL
@attribute wage-increase-first-year REAL
@attribute wage-increase-second-year REAL
@attribute wage-increase-third-year REAL
@attribute cost-of-living-adjustment {none,tcf,tc}
@attribute working-hours REAL
@attribute pension {none,ret_allw,empl_contr}
@attribute standby-pay REAL
@attribute shift-differential REAL
@attribute education-allowance {yes,no}
@attribute statutory-holidays REAL
@attribute vacation {below_average,average,generous}
@attribute longterm-disability-assistance {yes,no}
@attribute contribution-to-dental-plan {none,half,full}
@attribute bereavement-assistance {yes,no}
@attribute contribution-to-health-plan {none,half,full}
@attribute class {bad,good}
@data
3,6.4,5.8,?,none,38,none,?,?,no,12,below_average,yes,?,yes,?,good
2,7,4,?,none,40,?,?,6,?,?,below_average,yes,half,?,?,bad
2,5.7,6.4,?,none,35,?,10,3,?,12,below_average,?,none,?,?,good
1,5.7,3.5,?,?,33,none,2,5,?,11,below_average,yes,full,yes,?,good
2,3.5,4,?,?,40,?,?,?,?,10,below_average,yes,none,?,full,good
2,4.5,4.5,?,?,35,none,?,3,?,11,average,?,?,?,half,good
1,5,6,?,?,36,empl_contr,?,?,?,10,below_average,yes,half,yes,full,good
3,2,4,?,?,39,empl_contr,?,?,no,11,below_average,?,?,?,full,good
3,2,5,?,tc,38,ret_allw,?,4,no,12,generous,?,?,no,none,good
2,2.5,2.5,?,?,36,?,14,?,no,15,generous,yes,?,?,full,good
3,3.5,2.5,?,?,38,empl_contr,14,5,?,12,average,yes,none,?,full,good
1,3,4,?,none,33,?,?,4,yes,12,generous,yes,?,?,full,good
3,4,3,?,?,40,?,?,?,?,10,average,?,full,?,full,good
2,2.5,?,?,none,38,empl_contr,?,?,?,11,below_average,?,full,?,?,good
2,4.5,4,?,none,40,none,?,0,yes,12,generous,?,?,yes,?,good
3,4.5,6,?,?,40,?,?,?,?,13,below_average,?,full,?,full,bad
1,2.5,3,?,?,?,?,?,?,yes,12,average,?,half,yes,full,good
3,4,?,?,tcf,40,?,?,?,?,12,below_average,yes,?,yes,?,good
1,2.8,4.5,?,?,38,?,?,?,?,9,?,?,full,?,full,good
2,4,?,4.5,tc,?,none,?,3,?,10,generous,?,?,yes,none,good
1,2.5,?,5,none,40,?,?,?,?,15,average,yes,full,yes,full,bad
2,3.5,4.5,?,?,?,empl_contr,?,?,?,11,average,?,full,?,full,bad
1,4,2.5,?,none,?,?,10,?,?,15,average,yes,full,yes,half,good
2,2,2,5,?,40,empl_contr,?,?,no,11,below_average,?,none,?,none,bad
1,6.4,4,?,tcf,?,?,?,?,no,10,average,no,?,?,full,good
1,5,?,2.5,?,39,?,?,3,?,11,below_average,?,?,no,?,bad
2,2,2.5,?,?,40,?,10,5,yes,12,below_average,?,none,?,half,bad
2,4.5,3,?,?,35,none,?,3,?,12,below_average,yes,half,?,half,bad
3,4.5,4,?,?,40,none,?,2,yes,11,below_average,?,half,?,?,bad
3,6.4,4,?,none,38,?,4,4,?,11,below_average,?,full,?,?,good
3,4.5,3,?,tcf,?,?,?,?,?,10,below_average,?,none,?,full,good
2,5,4.5,?,?,39,empl_contr,2,25,?,11,average,?,full,yes,none,bad
2,4.5,?,5,?,35,?,?,0,?,12,below_average,?,?,?,full,good
3,3.5,2,4.5,tc,38,empl_contr,?,?,yes,11,generous,?,half,?,half,bad
3,2.8,3,5,tcf,?,?,?,4,?,11,below_average,?,full,?,none,good
2,6.4,5.3,5,none,40,?,?,?,yes,12,below_average,yes,?,?,?,bad
2,2.8,?,?,none,40,empl_contr,8,2,?,11,generous,?,?,yes,half,good
2,2.5,?,2.5,none,40,?,?,?,?,11,below_average,?,full,yes,?,good
3,4.5,4.8,2,tc,35,?,10,3,?,12,below_average,?,full,yes,full,bad
2,4.6,6,4.5,none,35,ret_allw,?,25,?,9,generous,?,none,?,?,bad
2,2.5,?,?,none,40,empl_contr,?,5,no,10,?,?,?,?,?,good
2,2.8,?,?,?,38,?,?,?,yes,12,generous,yes,?,yes,none,good
3,2,4.5,?,?,40,?,4,?,no,12,average,?,full,yes,?,good
1,2,2.5,5,?,40,?,?,1,?,10,?,no,none,yes,half,good
1,5.7,?,?,none,27,?,?,?,?,11,below_average,yes,none,?,full,good
2,3,3,?,?,35,?,?,4,?,11,below_average,yes,?,?,?,good
2,5.7,?,4.6,tc,38,?,?,5,no,10,?,yes,?,?,?,bad
2,4.5,2,5.1,none,?,none,8,?,no,12,below_average,no,none,yes,full,good
3,2.5,4.6,?,?,40,empl_contr,?,6,?,10,below_average,yes,?,?,half,bad
3,5.7,6.4,?,none,35,?,?,?,?,13,generous,yes,?,?,none,good
1,6.4,?,?,?,38,empl_contr,?,4,no,12,average,?,half,?,?,bad
3,5.7,4,?,none,40,ret_allw,?,3,?,10,below_average,?,none,?,?,good
3,4.5,4,?,tc,38,empl_contr,?,?,?,?,generous,yes,half,?,?,good
1,4.5,2.5,?,?,?,?,?,?,?,11,below_average,no,full,no,full,bad
1,4,4,?,tc,40,?,?,25,no,10,?,?,?,yes,none,good
1,3,4,?,none,40,ret_allw,?,3,?,?,average,yes,full,yes,full,bad
3,4.3,4,2,none,?,none,?,?,?,12,generous,yes,half,?,?,good
3,?,?,?,tcf,38,empl_contr,?,25,?,10,average,?,?,?,?,bad
2,4.6,?,?,?,38,?,?,?,no,11,average,yes,half,yes,half,bad
2,4.5,4.8,2.1,?,36,empl_contr,?,3,?,12,average,yes,half,?,half,good
2,2,5.3,?,?,40,?,?,?,no,11,generous,?,half,yes,none,good
3,2,?,?,?,40,?,?,3,yes,15,generous,?,?,?,full,good
3,3.5,4.5,?,?,40,none,?,4,yes,?,below_average,yes,?,no,full,good
1,4,4,?,?,38,none,?,2,?,12,generous,yes,full,yes,half,good
3,5,4,?,none,40,?,2,3,?,10,?,?,none,yes,full,good
2,5,2.5,4,?,?,?,13,2,?,12,generous,?,?,?,full,bad
2,3.5,?,2.5,none,38,?,?,3,no,11,average,no,full,yes,?,bad
2,2.5,6.4,?,none,40,?,?,?,?,?,below_average,?,half,?,half,bad
3,4,4,?,tc,37,?,?,4,?,10,average,yes,?,?,?,good
3,4.5,?,?,none,?,?,8,?,?,11,generous,no,?,yes,?,good
3,2.5,6,?,?,33,?,?,3,no,11,below_average,?,full,yes,full,good
2,5,4,?,tcf,40,empl_contr,12,?,?,10,below_average,yes,none,yes,?,bad
3,5,2.5,?,?,40,?,2,4,yes,11,below_average,?,?,yes,?,bad
3,2,4.5,?,tc,40,none,?,4,yes,9,below_average,?,?,?,none,good
3,3.5,4.8,?,?,40,?,?,3,no,12,below_average,?,full,no,?,good
2,4.5,3.5,?,none,33,?,?,14,?,9,below_average,?,full,?,none,bad
2,6.9,4,?,none,35,none,?,?,yes,15,average,no,full,no,half,bad
2,5,3,?,?,37,empl_contr,?,?,?,10,generous,yes,none,yes,?,good
3,7,4.5,5,tcf,40,none,?,3,?,11,below_average,?,?,?,?,good
2,5,?,?,?,40,none,4,?,yes,12,generous,no,?,yes,full,good
2,3.7,2.5,?,none,37,none,2,?,no,12,average,no,half,yes,full,bad
2,2,4.4,?,?,40,ret_allw,?,4,?,?,generous,?,full,yes,none,good
3,2.1,3,?,none,40,none,?,?,?,10,average,yes,half,?,?,good
2,6.9,4,?,tcf,?,empl_contr,?,10,?,11,generous,no,none,?,none,good
1,2.8,2.5,?,tcf,35,?,?,4,no,11,below_average,?,half,?,full,good
3,6,?,?,?,40,none,?,6,?,13,below_average,?,none,yes,half,good
2,5,2.5,?,none,40,?,?,?,?,13,average,yes,half,yes,full,good
3,2,?,?,tcf,40,?,?,?,no,11,generous,yes,full,yes,?,bad
3,3.7,4,?,none,40,?,?,?,?,11,below_average,yes,none,?,none,good
2,2,4,?,tcf,?,?,12,25,no,13,below_average,?,none,?,?,bad
3,2.1,4,?,?,27,?,?,?,?,10,average,no,none,?,half,good
1,2.5,?,?,none,38,?,?,5,?,?,?,yes,half,yes,half,good
3,2,5,?,?,40,empl_contr,2,?,?,?,?,?,half,?,none,bad
2,4.5,4.5,4.6,none,40,empl_contr,?,3,?,11,average,yes,full,?,?,bad
3,2,?,?,?,40,?,?,2,?,10,below_average,yes,full,yes,full,bad
3,2,?,5,?,?,empl_contr,?,?,?,12,generous,yes,?,?,?,bad
2,2.5,4,?,?,36,?,?,?,yes,11,below_average,yes,none,no,full,good
3,2,2.5,2.5,?,40,empl_contr,?,14,?,13,average,?,half,no,half,good
2,2,4.4,?,?,40,?,?,?,yes,11,average,?,?,?,half,good
2,2,2,?,none,35,ret_allw,?,?,?,11,generous,?,half,yes,?,bad
3,7,?,?,tc,38,ret_allw,?,3,?,?,below_average,?,none,?,none,good
3,5,4.4,?,?,35,empl_contr,?,3,?,10,average,yes,full,?,none,good
2,5,4,?,?,27,?,?,?,?,12,average,no,?,yes,full,good
3,7,3,?,none,38,none,13,?,yes,10,generous,?,?,yes,full,bad
3,2,?,?,?,38,empl_contr,?,0,yes,10,generous,?,none,?,?,good
3,4.5,4,?,none,?,?,?,?,?,10,average,?,?,?,?,good
2,5,4.6,?,?,38,none,?,?,?,12,generous,?,?,?,?,good
1,3,4,?,tc,38,?,?,?,?,12,generous,?,full,yes,full,bad
1,3.5,4.5,4.6,none,40,ret_allw,?,2,no,11,average,no,none,?,full,good
?,6.9,4,5,tcf,38,?,?,?,?,10,average,?,?,?,?,bad
3,7,4.5,?,tc,35,?,2,3,yes,11,generous,?,full,?,full,good
2,5,4.5,?,none,?,?,?,2,no,11,below_average,?,?,no,none,bad
3,5,4,?,none,40,empl_contr,?,?,no,11,below_average,yes,full,yes,full,bad
2,2,4,?,none,38,?,?,5,yes,11,generous,yes,?,?,full,bad
2,5,?,?,tcf,38,?,2,4,?,9,?,yes,?,?,?,good
3,2.5,3,5,tcf,40,?,?,?,?,12,average,yes,?,yes,?,good
2,2.8,4,?,?,40,none,2,3,?,9,generous,?,?,?,?,bad
3,2.8,3,?,tc,40,empl_contr,?,5,?,11,average,yes,?,yes,?,good
1,5,2.5,?,tc,35,?,?,4,yes,10,below_average,?,full,yes,?,bad
