@relation labor-weka.filters.unsupervised.instance.Randomize-S42

@attribute duration numeric
@attribute wage-increase-first-year numeric
@attribute wage-increase-second-year numeric
@attribute wage-increase-third-year numeric
@attribute cost-of-living-adjustment {none,tcf,tc}
@attribute working-hours numeric
@attribute pension {none,ret_allw,empl_contr}
@attribute standby-pay numeric
@attribute shift-differential numeric
@attribute education-allowance {yes,no}
@attribute statutory-holidays numeric
@attribute vacation {below_average,average,generous}
@attribute longterm-disability-assistance {yes,no}
@attribute contribution-to-dental-plan {none,half,full}
@attribute bereavement-assistance {yes,no}
@attribute contribution-to-health-plan {none,half,full}
@attribute class {bad,good}

@data

1,2,4.6,?,?,38,ret_allw,?,?,no,?,generous,no,full,?,full,good
3,5,2.5,?,none,33,none,?,5,?,12,below_average,yes,?,yes,none,good
1,3,4,?,?,35,?,?,?,?,10,generous,?,?,?,full,bad
3,2,4,?,tcf,39,none,?,2,no,10,below_average,yes,?,yes,none,good
1,4,?,?,?,40,none,?,3,yes,12,average,yes,half,yes,full,good
1,7,?,?,tc,?,ret_allw,?,3,?,11,generous,yes,?,?,?,good
2,3.5,4,?,none,35,none,?,?,yes,?,average,?,full,yes,?,good
1,6,4.4,?,none,40,empl_contr,2,?,?,11,generous,no,?,?,half,good
?,2.8,2,?,?,?,none,12,?,no,10,generous,yes,full,?,?,good
3,3,4.6,5,none,37,empl_contr,?,?,no,12,generous,yes,none,yes,full,good
1,5,4.5,?,none,40,?,?,4,?,12,?,no,half,yes,full,good
3,4.5,4,?,tc,?,?,?,1,?,10,average,?,none,no,?,good
2,3.5,4.8,?,?,40,?,?,5,?,10,below_average,?,?,?,half,good
?,4.3,?,?,tc,35,empl_contr,4,3,no,11,average,yes,?,yes,half,bad
2,4.5,?,?,none,37,?,?,3,yes,11,average,?,?,yes,full,good
2,2,?,?,?,40,?,?,3,?,9,below_average,?,none,?,?,good
3,5,4.6,?,?,40,none,?,?,no,11,below_average,?,half,?,half,bad
