% randomly generated dataset
@relation segment
@attribute region-centroid-col NUMERIC
@attribute region-centroid-row NUMERIC
@attribute region-pixel-count NUMERIC
@attribute short-line-density-5 NUMERIC
@attribute short-line-density-2 NUMERIC
@attribute vedge-mean NUMERIC
@attribute vegde-sd NUMERIC
@attribute hedge-mean NUMERIC
@attribute hedge-sd NUMERIC
@attribute intensity-mean NUMERIC
@attribute rawred-mean NUMERIC
@attribute rawblue-mean NUMERIC
@attribute rawgreen-mean NUMERIC
@attribute exred-mean NUMERIC
@attribute exblue-mean NUMERIC
@attribute exgreen-mean NUMERIC
@attribute value-mean NUMERIC
@attribute saturation-mean NUMERIC
@attribute hue-mean NUMERIC
@attribute class {brickface,sky,foliage,cement,window,path,grass}
@data
206,54,9,0,0,0.388889,0.018519,0.333333,0.918936,20.4444,35.6667,28,48.1111,-38.6667,13,-5.33333,2.55556,0.935706,2.25237,grass
62,56,9,0.333333,0,2.16667,0.077778,0,6.02963,5.62963,45.3333,75.6667,28.5556,-13.2222,55.6667,11.5556,0,0.489982,-2.05408,grass
90,191,9,0,0,8.22222,0.044444,?,0.385187,2.18519,49.7778,70.8889,13.1111,-3.33333,33.5556,-24.8889,24.1111,0.174948,-2.33354,cement
18,110,9,0,0,0.388889,0.344444,0.833333,1.77221,28.4074,2.44444,76.1111,103.778,-18.2222,0,-18.2222,45.5556,0.250137,-2.35455,window
205,161,9,0,0,8.38889,1.45551,0.388889,0.474074,8.51852,117.444,8,0,-20.1111,43.3333,-16.2222,72.4444,0.182398,-2.37781,path
59,197,9,0,0,2.33333,0.211111,6.38889,23.1852,43.5185,94.2222,49.7778,47.7778,-16.3333,39.5556,-2.44444,15.8889,0.29381,-1.17577,brickface
89,120,9,0.111111,0,1.27778,0.062963,2.72222,1.42595,106.519,9.55556,5.77778,29.7778,-3.33333,39.8889,12.7778,3.11111,0.294056,1.93847,brickface
252,182,9,0,0,0.888889,0.981307,2.38889,1.04881,2.18519,36.4444,47.6667,15.7778,-31.2222,14.4444,-15.5556,58.7778,0.549603,-2.12361,sky
217,189,9,0.111111,0,0.055556,3.7619,3.44444,2.80806,47.5185,22,17.1111,131.889,-10.4444,14.4444,-14.5556,22.2222,0.285333,-1.98035,foliage
2,172,9,0,0,2.77778,0.45542,2.38889,3.74759,5.96296,0,6.33333,36.3333,-9.22222,43.2222,-5.77778,126.222,0.307943,2.27303,path
192,140,9,0,0,5.72222,0.311111,0.944444,3.18518,42.5556,12.6667,7.66667,17.2222,-14.1111,37.5556,-18.2222,25,0.537017,-2.28076,brickface
18,11,9,0,0,0.555556,0.122222,2.5,0.836659,41.7037,20.7778,47.3333,35.6667,4.11111,26.4444,-17.5556,126.889,0.179629,-1.56733,path
31,185,9,0,0,0.555555,1.04704,2,0.074074,22.5926,7.44444,35.1111,43.8889,-39.2222,18.4444,-22.6667,3.66667,0.194622,-2.09781,cement
166,189,9,0,0,24.5556,1.27407,1.66667,1.30668,4.96296,21.3333,27.5556,107.556,-10.2222,30.2222,15.3333,75.2222,0.271659,-2.48898,foliage
77,66,9,0,0,0.555556,0.774072,0.333333,1.79815,125.111,10.6667,3.33333,15.4444,-5.77778,44.8889,-2.11111,15.8889,0.310101,-1.11813,grass
162,138,9,0.111111,0,0.777779,0.740742,1.94444,1.59745,25.2963,2.88889,42.2222,51.4444,-2,12.6667,14.6667,7.88889,0.300235,-0.871495,foliage
25,238,9,0,0,0.777778,0.888194,1.83333,0.752772,50.0741,1.44444,0.111111,120.667,-19.3333,47.6667,-8.11111,28.5556,0.67037,-2.41807,foliage
217,182,9,0,0,2.11111,1.91679,1.44444,0.966668,24.8519,91.2222,131.222,104.111,-14.7778,49.4444,14.4444,3.22222,0.977778,-1.84616,foliage
80,59,9,0,0,2.83333,0.952579,0.777778,1.27777,42.3333,42.8889,61,22.7778,-34.4444,8.11111,-14.4444,126.111,0.340237,-2.14718,window
180,85,9,0.111111,0,1.05555,0.45542,2.11111,0.266667,134.333,52.2222,65.1111,43.5556,-7.44444,18.4444,-13.7778,75.3333,0.399927,-1.71313,cement
180,111,9,0,0,1.22222,0.418519,7.16667,0.918519,41.8148,?,0.111111,55.6667,-18.1111,-3,-15,142.667,0.155825,-1.9857,sky
42,136,9,0,0,4.05556,1.45555,2.22222,0.122222,29.2222,53.7778,6.55556,3.77778,-21.2222,44.2222,-13.3333,19.2222,0.333856,-2.37181,foliage
44,61,9,0,0,0.888889,0.490654,0.5,0.151852,3,34.5556,8.11111,1.44444,-14.1111,14.4444,-2.66667,130.333,0.578339,2.29274,brickface
230,216,9,0,0,0,1.45169,0.944444,0.42963,18.6296,6.77778,52.6667,133,-0.111111,29.1111,-25.2222,31.1111,0.285756,-1.7836,brickface
139,134,9,0,0,0.555556,0.807371,22.1111,1.87873,58.7037,111.889,69.5556,128.333,-5.44444,5.33333,-4.11111,17.7778,0.816909,2.39249,brickface
193,90,9,0,0,0.388889,2.73861,1.83333,0.836659,5.11111,39,79,120.778,-16.3333,43,-2.22222,142.222,0.462752,2.39543,sky
115,145,9,0,0,6.72222,2.04396,4.05556,0.210818,3.25926,0.666667,25,37.7778,-11.5556,18.4444,-15.6667,5.77778,0.457772,-2.3012,cement
86,15,9,0,0,0.333333,1.40502,34.6111,1.68215,51.7407,1,6.88889,21,0,43.7778,-5,62.1111,0.254697,-2.16105,sky
226,57,9,0,0,1,1.16269,1.94444,0.711109,0.555556,6.88889,140.667,3.55556,-17.7778,33,15,132.444,0.558201,-2.03008,grass
235,40,9,0,0,0.611112,0.888194,0,0.222222,0,79.2222,28.8889,0,0,-6.66667,14.7778,0,0.417763,-1.67017,brickface
113,14,9,0,0,0.888889,0.596301,2.22222,0.389682,22.4815,44.8889,11.7778,1.88889,0,35.3333,-2.66667,121.556,0.309236,2.2422,window
151,63,9,0,0,0.111111,1.67407,2.44444,31.0222,21.1481,44.1111,139.667,28.7778,-4,21.8889,-8.22222,140.556,0.774121,-1.86828,path
219,145,9,0,0,0.388889,2.31341,0.444444,1.04881,13,40.4444,145.556,110.111,-14.2222,28.2222,-8.33333,24.5556,0.587963,-2.05057,sky
80,93,9,0,0,1.16667,0.250924,0.333333,0.474074,1.55556,10.5556,79.1111,18.7778,-14.3333,25.4444,-13.4444,14.3333,0.232219,-2.35462,cement
157,92,9,0,0,0.222222,0.172133,0.444444,0.860663,53.7037,8,7.33333,0.555556,-13.6667,17.2222,-8,48.5556,0.522999,-2.05616,window
23,139,9,0,0,1.66667,2.12222,0.055556,0.074074,1.77778,53.6667,29.7778,11.5556,-15.2222,24.4444,-13.4444,50.3333,0.438882,-2.04728,window
180,90,9,0,0,0.555556,2.14649,4.55556,1.18889,17.3333,5.55556,128.778,15.1111,-5.55556,67.8889,-11.1111,20.2222,0.398448,-2.3012,path
22,116,9,0,0,1.94444,0.596299,1.66667,0.327729,23.6667,8.88889,2.44444,24.2222,-20.5556,22.4444,-21.8889,47.5556,0.307458,-2.0944,path
203,123,9,0.111111,0,24.5556,0.389682,4.94444,0.211111,45.9259,54.8889,6.77778,3.22222,-16.2222,33.8889,-7.66667,20.3333,0.43507,-2.38344,window
31,196,9,0,0,1.61111,1.21868,10.6111,0.557773,6.44444,3.11111,61.1111,51.2222,-9,53.4444,-2.22222,140.889,0.222222,-2.00596,sky
178,102,9,0,0,2.27778,1.22963,4.11111,9.26296,8.44444,129.778,119.222,9.44444,-41.8889,14.4444,16.1111,11.8889,0.260605,2.23903,path
